fac1,fac2,fac1_name,fac2_name,wstart,wid,week
35183,48636,FightClub,Jokerz Wild,1737072000,21125,2025_3
51192,52357,Mayans MC,Mystic Marauders,1737064800,21124,2025_3
37803,50170,PT-PimpTuga,Night Watch,1737151200,21123,2025_3
50196,53032,War Monkeys,Cupins Vevecation,1737205200,21122,2025_3
46144,47515,SKS MUTATED,Project at Eden&#039;s Gate,1737054000,21121,2025_3
20303,44040,The Saviors,Galactic Arcade,1737133200,21120,2025_3
937,10174,Sport Club,AQUA-Poseidon,1737039600,21119,2025_3
16335,42125,SMTH - November Chopin,ODB,1737118800,21118,2025_3
38511,50740,Bellazzurro Family,Double Chocolate Winter,1737054000,21117,2025_3
51307,52786,The Street Rats,Mass Destruction,1737230400,21116,2025_3
29107,38319,Hello High,Unity Of Bagan,1737072000,21115,2025_3
53021,53056,2FADED2DIE,Petals of the Frozen Dawn,1737064800,21114,2025_3
48790,51836,Soldiers of Darkness,Brotherhood of Berzerkerz,1737158400,21113,2025_3
48246,52292,Knockout - Corner Care,The Cartel Gods,1737234000,21112,2025_3
44817,48640,Pokemon City,Phoenix Ascent,1737234000,21111,2025_3
42832,51906,Ascendency,Mouthy Mercs,1737147600,21110,2025_3
51304,51984,Legion Of Doom,x00,1737190800,21109,2025_3
27902,40959,SMTH - Concord,EPIC Mafia,1737032400,21108,2025_3
8836,30820,Vinerri,Wolverines Resurrected,1737241200,21107,2025_3
8255,37402,Requiem,The Laboratory,1737212400,21106,2025_3
9674,26437,Smells like Sex,The Pagans,1737144000,21105,2025_3
50604,52917,Gurkha Revolutionary Army,The Shadow Kingdom,1737057600,21104,2025_3
50695,52905,Neon Nexus,Odds &amp; Sods,1737144000,21103,2025_3
39580,47237,Raccoon Rumpus,Dank Meadows,1737216000,21102,2025_3
50245,50267,Familia Delinquentium,Hallucinogenics,1737165600,21101,2025_3
946,13307,PT-IronHearts,Goblin Horde,1737223200,21100,2025_3
51059,52994,Lethal Interjection Crew,Plateaux,1737039600,21099,2025_3
10140,12094,In Memory of the Fallen,Nuclear Fusion,1737154800,21098,2025_3
40420,46442,Too Sober for this Shit,The Resolute,1737054000,21097,2025_3
44627,49450,X FORBIDDEN SHADOWS X,The Couch Potatoes,1737237600,21096,2025_3
40039,48633,Black &amp; White,Tokyo Syndicate,1737234000,21095,2025_3
35840,46708,Baby Champers,The Revenant,1737216000,21094,2025_3
42685,50737,WarDogs Outpost,Rocky&#039;s Gym,1737133200,21093,2025_3
51740,52940,BONE THUGGIN MAFIA,Knight Templar,1737039600,21092,2025_3
31412,51915,Error [404],Faster Than Light,1737216000,21091,2025_3
51932,52805,$Money Makers$,Altruistic Perception,1737212400,21090,2025_3
51933,52788,Army of Terror,MATRIX UNDERGROUND,1737133200,21089,2025_3
6557,52657,Stepping Stones,Armed Response Unit 1,1737039600,21088,2025_3
11581,27312,Natural Selection III,SA Succession,1737154800,21087,2025_3
50055,50806,Bleak,Sanctuary for all,1737241200,21086,2025_3
50711,52677,Diamond Cartel,The Lions Den,1737057600,21085,2025_3
14820,37786,Unbroken Legion,Halos Momentum,1737241200,21084,2025_3
44746,51758,After-Death,Dracula's Disciples,1737241200,21083,2025_3
37838,52235,Threat Level Midnight,Oreo Cheesecake,1737136800,21082,2025_3
8677,15083,Mana,Leeches,1737234000,21081,2025_3
48680,51291,BlackWatch,Forge INC,1737054000,21080,2025_3
7986,14432,Assassin Team,160th SOAR Night Stalkers,1737129600,21079,2025_3
49064,52713,ARGENTINA NOVA&#039;S ARMY,Bella Ciaoo,1737061200,21078,2025_3
46570,48002,INSANITY X,Corrupted Phoenix,1737234000,21077,2025_3
43889,50960,Knockout - Weight Room,The District,1737136800,21076,2025_3
9405,27576,Voidbringers,Dirty Deeds Inc,1737237600,21075,2025_3
14581,16443,Project Nimbus,Undead Syndicate,1737057600,21074,2025_3
46666,46692,Fluffy Kittens Inc.,Disruption,1737154800,21073,2025_3
8001,51200,Dark Exterminators,The Bottomless Pit,1737043200,21072,2025_3
9041,9100,PT-Calculated,The Black Hand,1737122400,21071,2025_3
11782,47760,Divine Judgement,Ninjas In Rehab,1737050400,21070,2025_3
8336,11747,Monarch HQ,Natural Selection II,1737144000,21069,2025_3
9036,25857,The Black Pearl,Road House,1737036000,21068,2025_3
23952,44762,Midnight Plague,Monarch Retardation,1737144000,21067,2025_3
9728,11898,Victores Cruenti,Harms Way,1737050400,21066,2025_3
47676,48443,Matcha Cafe,Knockout - Ringside,1737219600,21065,2025_3
50467,51056,D0p3 Kr3w,Torn Sails,1737147600,21064,2025_3
41259,45835,Ninja&#039;s Playground BRC,Fallen Angels Syndicate,1737234000,21063,2025_3
