fac1,fac2,fac1_name,fac1_name,fac1_name,fac2_name,fac2_name,fac2_name,wstart,wend,winner,week
9357,36134,AQUA-Neptune,0,0,SMTH - Silver Hand,0,0,1737100800,0,0,2025_3
49142,50396,The Mishaps,0,0,BPT,0,0,1737226800,0,0,2025_3
7709,8085,Vulpes Vulpes,0,1,Nuclear Blast,0,0,1737230400,0,0,2025_3
13131,16299,Torn Galactic Republic,0,0,Neon Cartel,0,0,1737223200,0,0,2025_3
10979,51926,BAD COMPANY ,0,0,Inglorious Basterds,0,0,1737050400,0,0,2025_3
10184,42961,Queen Bee,0,0,The Rebel Army,0,0,1737140400,0,0,2025_3
230,10610,PT-Family,0,1,NPO - Strength,0,0,1737064800,0,0,2025_3
52851,53042,The Red Rabbit,0,0,CROWD CONTROL,0,0,1737158400,0,0,2025_3
7652,41225,Alley Cats,0,0,PT-erodactyls,0,0,1737133200,0,0,2025_3
47563,51896,Heroin!,0,0,Stoner Inc,0,0,1737039600,0,0,2025_3
12645,15595,NPO - Endurance,0,0,Lusty Lizards,0,0,1737230400,0,0,2025_3
51373,52799,The Salamanders,0,0,Bingo Loco,0,0,1737136800,0,0,2025_3
40385,49967,Death Before Dishonor,0,0,Sandline,0,0,1737054000,0,0,2025_3
52639,53100,Silent Wind,0,1,Menacing Monkeys,0,0,1737230400,0,0,2025_3
48087,48206,GigaProbe,0,0,ADHD Team,0,0,1737219600,0,0,2025_3
8566,12894,Mismatched,0,0,New Sith Order II,0,0,1737147600,0,0,2025_3
52652,52860,RAVISPA,0,0,$$$,0,0,1736992800,0,0,2025_3
52542,52806,House Of War,0,0,Shadow_Wizard_Money_Gang,0,0,1737212400,0,0,2025_3
22932,49636,The Red Circle,0,0,New Beginning,0,0,1737219600,0,0,2025_3
8537,9201,NNGO,0,0,Destination Unknown,0,0,1737072000,0,0,2025_3
10940,49122,TC Mafia Chain Gang,0,0,Balls of Steel MC,0,0,1737057600,0,0,2025_3
51679,53020,Stiff knights: re-erected,0,0,Los Blancos Eldorado,0,0,1737151200,0,0,2025_3
