uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,total
1982692,MrCarnage,100,1718876751,9110,Siege,5.24,7.08,2.38,3362.26,0.17,0.17,0.31,54.8,0.84,0.9,5390335898
1982831,VinnyCarwash,100,1718846883,16628,Chain Reaction,4.44,5.58,2.56,2821.87,0.02,0.02,0.1,10.74,0.81,0.97,9924588243
1983296,Cambit,100,1718878072,44762,The Iron Maiden,2.51,13.31,2.09,8160.7,0.17,0.19,1.34,3.41,0.19,0.62,7863741100
1983602,Xibalba,100,1718869788,2736,Itsi Bitsi Bikini,0.36,0.84,2.58,2782.73,0,0.09,0,0,0.02,0.9,6625925735
1984474,P0TATO,99,1718866824,7835,Monarch Mutation,2.58,4.68,2.21,1426.38,0.08,0,2.23,6.58,0.02,0.79,4016526119
1985257,SupremeOverlord,69,1718872076,14078,~Twisted~,0.3,0.42,3.21,4395.92,0,0,3.34,8.96,0.18,0.99,3321308343
1985259,GanjaKing,98,1718866933,8803,Buttgrass Inc,1.29,3.06,2.04,5708.19,0.01,0.33,10.24,1.21,0.33,0.91,3461440778
1985572,criped,88,1718877299,8151,Chromatic,2.8,3.56,2.3,5913.94,0.11,0.09,0.34,3.68,0.16,0.74,3779477237
1985614,WnderLandAlice,82,1718870331,11581,Natural Selection III,3.73,8.51,2.38,16228.43,0.03,0.16,6.7,40.86,0.64,0.83,1182131019
1987122,Etno,100,1718877716,231,Destructive Anomaly,2.56,2.94,2.5,7872.48,0,0.04,0.24,17.62,0,0.83,9102399094
1987262,WitchChild,100,1718866354,11428,Swiss Squad,5.56,6.82,2.58,9318.24,0.08,0.12,3.33,9.39,0.04,0.97,7634079259
1987545,Pici7,40,1718873363,9201,Destination Unknown,0.3,1.01,2.12,2944.64,0.01,0,0.06,0,0.03,0.97,253396212
1987620,Kas,61,1718870442,9689,Deja,0.5,5.27,2.78,21953.74,0.08,0.01,1.66,0,0.71,0.97,445072168
1987840,SkyKaos,55,1718875884,9503,TSFTS Microbrewery,4.57,7.24,2.42,4318.3,0.02,0,0,0,0.8,0.89,163485719
1987960,DefyingGravity,100,1718867567,13784,WarBirds,0.78,5.2,2.4,1614.39,0.03,0.23,0.3,36.33,0.78,1,8823576013
1989354,Tenacious1,100,1718854843,13784,WarBirds,3.44,3.51,2.12,2324.4,0.46,0.16,0.22,16.68,0,0.87,7957453204
1989566,drugthug,71,1718857673,15446,Druggies in Snuggies,1.83,4.02,2.83,8159.58,0.04,0.1,5.12,14.21,0.54,0.92,816935501
1989797,wonderpants,65,1718876344,21368,Escensio Incursus,0.37,0.46,2.67,2731.77,0,0.1,0.38,0,0.01,0.57,661178566
1990081,Jack-Mehoff,100,1718840661,7709,Vulpes Vulpes,0.47,1.56,2.09,1956,0,0.03,0,0,0.66,0.96,5246162357
1990132,NurpleDurple,99,1718864292,8520,Xenon,1.34,2.48,2.34,2254.89,0.21,0.06,0.97,19.22,0.01,0.93,5769642485
1990191,babayagaPL,100,1718878407,16443,Undead Syndicate,5.02,5.3,2.73,2972.13,0.29,0.09,0.19,2.87,0.16,0.96,5960607344
