uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,total
1355078,totallytony,71,1718868100,26437,The Pagans,864,4926,2204,3366183,0,48,808,17547,24,578,1065206889
1356670,speirsington,100,1718873764,8336,Monarch HQ,74,20206,9413,13342877,10,48,776,105,372,2025,10997652175
1356715,Shagrath,100,1718877515,9533,Natural Selection,673,19140,8284,8894879,22,239,6977,34406,1167,4015,12797439625
1358291,Aidan,94,1718872477,9055,Natural Selection IV,674,5168,3392,3536248,63,50,244,120,43,1437,3143702930
1359633,Blood,100,1718871468,14365,JFK 2.1,3922,15359,4383,21943397,1102,2395,5717,49177,725,1787,7490796422
1359856,MisterCrash,88,1718867938,8151,Chromatic,418,3368,2602,5609052,6,215,1632,55,303,587,2246874094
1360301,cytuga,75,1718855684,25025,DP Warriors,29,2925,3247,2486084,0,587,13,0,3,2900,4862465106
1362573,nomind,99,1718868859,11581,Natural Selection III,514,12328,3010,7445949,74,318,1344,20493,493,1476,3705323747
1362579,Kheiron,100,1718877734,7835,Monarch Mutation,1498,20362,8094,21608918,347,462,2898,41103,1705,4397,11874052436
1364343,Mikka,99,1718849994,33458,SA One  Punch,4027,14617,3657,10768658,396,234,1967,29709,412,1030,3043339864
1364877,dor7s,95,1718837807,8317,Naughty Souls,536,5567,3035,3498553,11,36,446,1000,213,666,2867253230
13653,DrKillinger,100,1718849157,8422,Monarch Cupid,78,12014,2562,3383411,1,313,1121,10918,924,1018,3173431979
1366217,DMT,60,1718876349,18569,Romania Elite Kommando,130,1898,1866,1697079,1,79,26,0,10,990,1434606073
1366534,Dilz,25,1718873222,25025,DP Warriors,1546,24749,7587,39126910,524,84,2121,17194,731,2641,9072457948
1368994,Mysterious27,89,1718875571,36891,FLATLINE,357,4586,2114,4314994,60,95,111,1969,225,919,1638688204
1369172,Gangster,95,1718878274,16282,Nuclear Winter,1677,16713,2424,9522724,23,130,505,973,831,1052,1247055906
1371943,Endex,95,1718878328,9100,The Black Hand,1133,8636,2220,8329573,68,147,1490,11765,996,808,1821302623
1372430,DrChrono,100,1718854807,11747,Natural Selection II,2191,15801,4838,23897353,439,421,4620,70983,1382,2078,6295883762
1372544,Rasper,100,1718868717,36891,FLATLINE,939,16561,6775,9333638,496,256,2203,42170,1150,2462,8849515490
1373916,icedogg,100,1718852641,8867,Monarch Chrysalis,1886,29727,11226,29856540,380,1341,6157,24484,1717,4454,14863593044
1375654,Hot-Monkey,97,1718877568,27223,Little Stompers,1527,9469,2882,10338614,204,65,886,8166,545,1152,2532698699
1380405,Fondil_Mabols,98,1718865601,9100,The Black Hand,770,7149,5150,7141357,95,114,855,27313,474,1787,6259858081
1381291,ARMOUR,79,1718877631,7835,Monarch Mutation,1292,27531,9261,23878358,237,351,2604,104974,2633,4239,12617442614
