uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,Stats,total
2608187,DrVoid,91,1718877783,18736,Monarch Research,326,7071,2622,9482152,7,297,150,5491,549,850,0,1955960000
260819,AustinPH,63,1718866940,8400,Lingering Insanity,10,1479,20,1038414,4,63,178,1252,107,148,0,584987085
2608210,KBox42,62,1718867144,13377,The Brotherhood of War,343,3347,1132,2145290,10,53,90,1876,120,359,0,376806984
2608257,Maxim503,20,1718860840,7935,Blue Rock Collective,326,3286,688,1599578,2,120,20,140,210,53,0,51210832
2608270,Yodelinyoder,87,1718858122,37530,The Iron Retribution,2735,6605,2803,5982808,54,16,376,1864,92,686,0,2075496757
2608340,merkdan,96,1718878362,8384,Savage Plague,,,,,,,,,,,0,2638804428
2608416,LetalisJoule,19,1718869923,13131,Torn Galactic Republic,0,165,3,192108,0,1,0,0,3,83,0,72279
2608494,Psychpuppy1369,94,1718855770,10818,Lex Wolverines,235,9564,2377,4845379,15,501,809,6718,572,791,0,1391619999
2608627,Averychan,62,1718872988,13726,Dark Energy,365,2491,546,1608524,0,1,41,0,144,44,0,20441127
2608770,SerenityRain,96,1718853451,33007,HAKA,453,9950,3461,7229294,275,979,5412,18614,419,1120,0,4097551266
2608778,Jeff1781,99,1718852024,6974,Onion Smugglers,883,10068,2989,12564248,132,546,1268,18272,413,1044,0,2638896609
2608853,DirtyQTipz,93,1718877707,8520,Xenon,704,7795,3245,11370328,113,236,874,1932,448,1129,0,2854471117
2608933,ellpeeaxe,90,1718877762,7227,The Collective JTF,2037,8212,2305,4663166,302,84,377,1670,749,739,0,1416989664
2609010,lakepalmer,80,1718878205,8520,Xenon,728,5239,1979,9341323,16,252,378,3046,335,595,0,1348991610
2609029,Zack2point0,5,1718870817,20659,The Resurrection,0,23,0,24280,0,0,0,0,0,0,0,557
2609116,blobertyrob,65,1718840788,36140,Princess Dale&#039;s Beavers,134,2777,1921,2534463,8,95,133,5500,183,439,0,972704248
2609123,knfs68,58,1718878205,39756,Abusement Park,912,18674,1689,6657962,36,194,435,13452,1311,551,0,515184745
2609193,-DirkDiggler-,65,1718842481,37530,The Iron Retribution,53,3597,1078,1575819,3,90,3,0,121,288,0,107554502
2609215,Wolf_Lobo,22,1718857607,43428,The Madhouse Resurrection,10,2369,435,1361861,0,2,9,2408,160,9,0,1671114
2609400,dbailz31,94,1718874172,9305,Legitimate Business,1728,8086,2370,3414187,29,122,735,35315,870,815,0,1556898871
2609653,OutKarst,63,1718874815,8867,Monarch Chrysalis,184,1647,1083,2423563,1,44,1,0,23,151,0,313780534
2609771,Tserin,66,1718859942,10566,The Rifle Company,683,5446,2464,3971168,9,9,105,0,75,290,0,1095731695
2609775,TheSpryguy,50,1718862550,40774,Pennywise Clown Posse,213,4817,17,3077381,11,2,430,11004,584,533,0,220622405
2609855,_Oracle_,48,1718836659,8085,Nuclear Blast,758,2101,568,1753345,39,102,59,0,34,113,0,66618081
2609862,Marv,95,1718875101,36891,FLATLINE,756,10864,2959,5598998,69,708,4566,10521,207,942,0,2431102606
2609960,you-,89,1718862828,89,Catalysis,149,3489,3172,3385873,1,40,7137,400,444,1239,0,3633350700
2610010,Thomas,96,1718839918,21526,NS Bomb Shelter,116,11670,2693,8121054,25,238,1211,775,251,742,0,1687104050
261002,Nightmare987,100,1718863859,6799,The Untouchables,82,10881,4062,3986735,33,84,332,21564,560,2605,0,5896091199
2610244,Pippa,80,1718874925,15837,Suits,856,8555,2191,4460666,80,126,291,0,314,1139,0,1682819264
2610330,Drewdrew98,45,1718864357,38482,Jokerz,554,776,1517,938331,0,33,712,0,4,635,0,675318448
2610375,CesBot,100,1718868219,28349,Dexter&#039;s Laboratory,5595,19122,3625,25806141,1343,3260,2380,83058,1053,1148,0,6027729670
2610659,Kitty,80,1718875808,22492,Dystopia,292,5858,1935,2974136,6,320,210,0,220,772,0,1125830158
2610682,Troncmaster,31,1718876081,43325,Crime Syndicate,418,4321,1472,2547743,11,71,55,0,87,33,0,732604402
2610783,ManyFacedGod3,94,1718856720,15120,Wolf Pack Next Generation,1149,8688,2318,12398688,408,293,819,7740,723,1008,0,1667368893
2610846,Auzzo,90,1718838845,8076,Order Through Chaos,1099,6339,2826,4602647,36,238,639,3228,122,610,0,2062108685
2610928,Hawkiedokie,84,1718877612,13131,Torn Galactic Republic,2080,8460,1975,7427732,298,108,279,4750,356,554,0,850615601
2611166,Lonwolf4,60,1718839651,22680,39th Street Chillers,802,3188,1610,3307747,5,30,96,1213,374,806,0,1082110629
2611286,Septarian,87,1718842928,37537,WTF Ducks,249,7456,57,5403816,8,43,579,18503,1268,351,0,87921249
2611338,Imrealbeast,80,1718872352,10820,Lithium,103,3550,1901,4233266,1,304,1775,500,289,751,0,1604804504
2611542,Owchowch,16,1718871724,13131,Torn Galactic Republic,674,2183,373,3980272,0,121,14,24,19,136,0,37334923
2611610,Grasshopper05,35,1718877630,44865,Clockwork Orange,610,2754,163,2879526,5,3,29,0,30,33,0,82032532
2611689,mrwhomever,50,1718876314,30820,Wolverines Gone Wild,107,3038,1269,1928469,0,508,0,1611,201,469,0,342152163
2611714,Azora,89,1718841574,14820,Unbroken Legion,1980,8125,2467,2985316,181,52,23,12,431,583,0,1633731215
2611790,Testify,72,1718876951,16053,Asylum 2.0,707,6644,1083,3892335,10,231,404,4212,663,33,0,51747909
2611906,DCMAGNET,45,1718852303,49636,New Beginning,91,1304,129,1055261,0,0,1,636,253,55,0,7951433
2612041,Svenk,36,1718877387,26437,The Pagans,837,3645,1235,2377695,10,217,122,0,42,541,0,545711483
2612132,Odbodfnord,60,1718876818,15837,Suits,140,6548,699,4965995,1,164,228,12573,1150,276,0,103332042
2612232,Bickowad,84,1718867029,10566,The Rifle Company,869,6122,2416,2287890,17,61,163,1630,97,831,0,1781810752
2612360,PedroMendez,80,1718868708,8317,Naughty Souls,879,5515,3165,7716591,35,717,43,0,211,1027,0,2862418168
2612376,Elisa,100,1718873348,16312,39th Street Killers X,1234,11803,3598,6277696,257,517,2984,54312,765,1251,0,3364525088
2612396,CaliburnKill3r,81,1718864978,10296,Retaliation,433,5958,1457,2440623,5,418,293,2086,586,215,0,245573664
2612583,GIFTS,92,1718877106,7969,WIT-Premier,1778,10700,2487,17159643,58,1123,2664,58284,777,1002,0,1576153743
2612591,Shafaegalo,28,1718853068,44758,NPO - Prosperity,15,557,151,1378023,0,50,0,0,99,34,0,285795
2612594,gears4speed,73,1718858699,8537,NNGO,512,5003,1674,2416176,5,58,66,38,112,502,0,698544749
2612609,FoXy-,99,1718873034,1117,Ascension,2421,15478,2972,14221258,347,243,1523,35229,1003,1048,0,2119915950
2612636,Garodah,50,1718854208,7002,Karma Chameleons,640,3146,1589,2291220,0,47,34,0,19,618,0,770236823
2612640,ChubbyWhiteGuy,77,1718857647,9201,Destination Unknown,86,6429,1176,2622421,1,118,504,12446,865,405,0,507458715
2612888,Rismee,95,1718849855,6731,The Next Level,944,8301,2885,3223347,56,201,318,7892,933,983,0,2163927565
2612962,The1shadow,15,1718855622,41238,The Mile High Club,394,1413,24,488849,4,1,1,0,118,35,0,440673
2612964,Gos,73,1718857703,13377,The Brotherhood of War,1075,4693,556,3214785,33,5,1,500,60,42,0,40227951
2613101,GrandpaPablo,98,1718852386,48848,Torn 4 Life,1271,11800,2960,3956073,72,1533,4759,8297,1228,1043,0,2800462507
2613202,Ramchand,85,1718877827,8537,NNGO,2152,9113,3049,8301721,233,46,612,273,485,1045,0,2829793399
